found,qf,gather1,q1,gather2,q2,mystery,qm
none,,food,2,wood,2,none,
none,,wood,1,fibre,2,none,
none,,wood,1,fibre,2,none,
none,,wood,2,fibre,1,none,
none,,wood,2,fibre,1,none,
none,,food,2,fibre,2,none,
food,1,food,2,wood,1,none,
food,1,food,2,wood,1,none,
food,1,food,2,wood,1,none,
food,1,food,2,wood,1,none,
wood,1,food,2,wood,1,none,
food,1,food,2,fibre,1,none,
food,1,food,2,fibre,1,none,
food,1,food,2,fibre,1,none,
food,1,food,2,fibre,1,none,
fibre,1,food,2,fibre,1,none,
food,1,wood,1,fibre,1,none,
food,1,wood,1,fibre,1,none,
food,1,wood,1,fibre,1,none,
fibre,1,wood,1,fibre,1,none,
wood,1,wood,1,fibre,1,none,
none,,wood,1,fibre,1,none,
